user_id,status_id,created_at,screen_name,text,character,word_count,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x2960576608,x1276605793362640897,6/26/20 19:58,_julieenguyen,"18 people have now tested positive for COVID-19 in Kingston, Ontario. They're all linked to an outbreak at a nail salon where 6 employees have the coronavirus. Hundreds of people are being told to isolate and get tested. Previous story: https://t.co/OwNAtA81Fb",260,41,Twitter Web App,,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,x19038934,CBCAlerts,en,,,,,,,,,,,,,,,,x1276520186036830210,"18 people have now tested positive for COVID-19 in Kingston, Ontario. They're all linked to an outbreak at a nail salon where 6 employees have the coronavirus. Hundreds of people are being told to isolate and get tested. Previous story: https://t.co/OwNAtA81Fb",6/26/20 14:18,Twitter Web App,606,658,x19038934,CBCAlerts,CBC News Alerts,1301545,409,141657,Toronto,"Breaking national and international news alerts from CBC News, Canada's TV, radio, online and social media news leader.",TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/_julieenguyen/status/1276605793362640897,julie,canada,"@uwaterloo alum. backpacking, marketing, and all of the millennial(gen z) trash in between",http://julienguyen.me,FALSE,307,321,3,6277,133,1/4/15 17:21,FALSE,,,,,http://abs.twimg.com/images/themes/theme19/bg.gif,http://pbs.twimg.com/profile_images/1273644156687187972/ofNCriip_normal.jpg
x333032995,x1276605793312350209,6/26/20 19:58,RodrigoCrisLobo,"Ahora mismo... los anuncios de la ampliación de la ""cuarentena"".
#horaciorodríguezlarreta #albertofernandez #axelkicillof #covid_19 #cuarentena #pandemia #coronavirus https://t.co/21ZYBn5AM0",192,17,Instagram,,,,,FALSE,FALSE,0,0,0,0,horaciorodríguezlarreta albertofernandez,,twitter.com/i/web/status/1…,https://t.co/imQE8q07Op,https://twitter.com/i/web/status/1276605793312350209,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/RodrigoCrisLobo/status/1276605793312350209,Rodrigo Lobo,"Jose C. Paz, Bs. As, Argentina",,,FALSE,4,15,0,717,94,7/10/11 21:25,FALSE,,,,,http://abs.twimg.com/images/themes/theme1/bg.png,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
x259891218,x1276605793383657474,6/26/20 19:58,Hans_el_Erizo,Jajajajajaa que emoción.,25,3,Twitter for Android,,,,,TRUE,FALSE,0,0,0,0,,,,,,,,,,,,,,,,es,x1276595819332993028,¡Jovencita llora de emoción al ver a su abuelito recuperado del terrible Coronavirus!😭 Que Bella Noticia.🤣 https://t.co/8DFe7Qnekf,6/26/20 19:18,Twitter for Android,51,4,x846443450,DrTalamo,Dr. Tálamo,6671,6448,22082,Petén.com,"P-17 🇬🇹,  Algo de la 💩 que escribo es REAL, ALV los hipócritas e Indignados...  🇨🇴✌🏼",FALSE,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/Hans_el_Erizo/status/1276605793383657474,Juan Carlos López™,"Dios Baco, Grecia","Soy un zurdo tratando de adaptarse a un país derechista, atolondrado más no huevón, Soy Ateo por convicción. Papá de Facundo y de su hermana Nayha.",,FALSE,779,231,11,99824,55696,3/2/11 20:19,FALSE,,,,https://pbs.twimg.com/profile_banners/259891218/1519830023,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1189518069804208128/QoH-asLc_normal.jpg
x784116120,x1276605793542918144,6/26/20 19:58,Alyxandra_13,If you’re testing positive for COVID-19 and you’re not telling your friends ... go to hell.,95,16,Twitter for iPhone,,,,,TRUE,TRUE,0,0,0,0,,,,,,,,,,,,,,x624995782,amour_nisha,en,x1275947408468455424,So many ppl are testing positive for COVID-19... be careful out here when engaging with ppl including your friends who tested positive but didn’t say anything.,6/25/20 0:22,Twitter for iPhone,1810,1078,x188773610,_PlanetPerc,Percy H. Henry III,1778,974,22972,"Brooklyn, NY",GOD is Great | FAMU ALUMNUS | Masters of Public Admin Scholar | Dreams Turned Reality |,FALSE,x1275948111689658372,If you’re testing positive for COVID-19 and you’re not telling your friends ... go to hell.,6/25/20 0:25,Twitter for iPhone,29410,14981,x624995782,amour_nisha,nish🌻,1198,1096,19673,"Tallahassee, FL",#FAMU 🐍🧡 | 1922,FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/Alyxandra_13/status/1276605793542918144,Alyxandra G. Olivera,"Washington, USA",|22| 👩🏻‍🎓 ‘21 | 🇲🇽🇮🇹 | TU LUCHA ES MI LUCHA ✊🏿✊🏾✊🏽✊🏼 |,,FALSE,509,317,1,43744,19662,8/27/12 7:59,FALSE,,,,https://pbs.twimg.com/profile_banners/784116120/1587916078,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1260462019431600128/INehA_k5_normal.jpg
x1199771785148993536,x1276605793618530304,6/26/20 19:58,Heerak4Congress,"COVID-19 new cases are skyrocketing in Arizona, especially among teens &amp; 20's.

Expect death rate to catch up in couple weeks as patients get worse. @CDCgov 
